ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_tps_ss,first_token_sec,kvcache_bytes
2048,2048,465.07,128,14.15,14.16,0.0739,52184476
4096,2048,418.77,128,14.00,14.00,0.0724,80373148
6144,2048,409.72,128,13.91,13.92,0.0738,108561820
8192,2048,404.93,128,13.74,13.75,0.0749,136750492
10240,2048,401.08,128,13.66,13.66,0.0742,164939164
12288,2048,396.43,128,13.59,13.59,0.0747,193127836
14336,2048,392.41,128,13.49,13.49,0.0765,221316508
16384,2048,389.60,128,13.55,13.55,0.0741,249505180
18432,2048,384.83,128,13.47,13.47,0.0752,277693852
20480,2048,381.54,128,13.41,13.41,0.0765,305882524
22528,2048,379.65,128,13.33,13.33,0.0760,334071196
24576,2048,375.76,128,13.24,13.25,0.0773,362259868
26624,2048,371.87,128,13.18,13.19,0.0794,390448540
28672,2048,367.50,128,13.07,13.08,0.0783,418637212
30720,2048,365.24,128,12.96,12.97,0.0792,446825884
32768,2048,363.28,128,12.60,12.61,0.0869,475014556
34816,2048,348.95,128,12.50,12.50,0.0863,503203228
36864,2048,346.74,128,12.45,12.45,0.0828,531391900
38912,2048,344.12,128,12.40,12.40,0.0835,559580572
40960,2048,341.14,128,12.38,12.38,0.0810,587769244
43008,2048,337.40,128,12.32,12.33,0.0827,615957916
45056,2048,334.64,128,12.29,12.29,0.0824,644146588
47104,2048,332.55,128,12.23,12.23,0.0841,672335260
49152,2048,329.83,128,12.20,12.21,0.0884,700523932
51200,2048,324.09,128,12.15,12.15,0.0838,728712604
53248,2048,322.18,128,12.10,12.10,0.0835,756901276
55296,2048,319.52,128,12.04,12.04,0.0844,785089948
57344,2048,318.04,128,11.98,11.98,0.0860,813278620
59392,2048,315.07,128,11.94,11.94,0.0845,841467292
61440,2048,313.52,128,11.82,11.82,0.0853,869655964
63488,2048,309.92,128,11.78,11.78,0.0857,897844636
65536,2048,308.42,128,11.70,11.71,0.0865,926033308
